time,X_value,Y_value,Z_value
Started:,Aug. 22 2018,10:12:37:936, 
1.7028,0.00543,-0.01210,0.19855
1.7081,0.00757,-0.00890,0.18576
1.7242,0.00650,-0.01529,0.18790
1.7243,-0.02011,0.00282,0.18576
1.7243,-0.00839,-0.00996,0.16978
1.7247,-0.01160,0.00069,0.16232
1.7301,-0.00839,0.01241,0.14635
1.7340,-0.00839,-0.01103,0.14102
1.7396,-0.01372,-0.00784,0.16766
1.7422,-0.00414,-0.00038,0.15807
1.7465,-0.00307,0.00282,0.12611
1.7514,-0.00414,0.00388,0.13676
1.7555,-0.00732,0.01347,0.15274
1.7609,-0.00520,0.00601,0.13570
1.7640,-0.00414,0.00069,0.11758
1.7686,-0.00627,0.00920,0.10800
1.7727,-0.01053,-0.00784,0.12505
1.7771,-0.00200,-0.00145,0.17085
1.7813,-0.01372,0.00708,0.22945
1.7853,-0.01479,0.00282,0.27951
1.7899,-0.00839,-0.00038,0.35834
1.7948,-0.00946,0.00708,0.41479
1.7986,0.00226,-0.00996,0.44569
1.8042,-0.01160,-0.00145,0.44249
1.8080,-0.01266,0.00175,0.42865
1.8122,-0.00200,-0.00677,0.44676
1.8187,-0.00839,-0.00996,0.45848
1.8242,-0.01053,-0.00890,0.47765
1.8264,-0.00627,-0.00464,0.49257
1.8311,-0.00732,-0.01955,0.49576
1.8346,-0.01160,0.00069,0.46700
1.8401,0.00226,0.00069,0.48190
1.8505,-0.00414,-0.00784,0.50641
1.8558,-0.00627,0.00175,0.50534
1.8570,-0.00839,0.00175,0.46274
1.8571,-0.00946,-0.01422,0.42972
1.8640,-0.01053,-0.00250,0.39136
1.8640,-0.00839,-0.00784,0.39029
1.8689,-0.01266,-0.00250,0.43184
1.8748,-0.01692,-0.01422,0.51173
1.8799,-0.00839,-0.01317,0.61932
1.8833,-0.01053,-0.00677,0.70029
1.8864,-0.01266,-0.01955,0.72798
1.8915,-0.01479,-0.02806,0.73863
1.8956,-0.01266,-0.00677,0.69177
1.9007,-0.00520,-0.02592,0.59589
1.9053,-0.01692,0.00282,0.54475
1.9087,-0.01160,-0.01103,0.47339
1.9132,-0.01692,-0.01743,0.45102
1.9191,-0.01053,-0.01422,0.44463
1.9214,-0.01160,-0.00464,0.42226
1.9264,-0.01266,0.00175,0.39029
1.9303,-0.00627,-0.00571,0.41054
1.9347,-0.00200,0.00708,0.45634
1.9412,-0.01799,-0.00145,0.50108
1.9446,-0.01266,0.00282,0.56712
1.9523,-0.01479,-0.00250,0.57779
1.9719,-0.01266,-0.00145,0.57033
1.9719,-0.00520,-0.01210,0.56500
1.9719,-0.00307,-0.00145,0.59270
1.9719,-0.00520,-0.02487,0.61293
1.9727,-0.00839,-0.01317,0.62679
1.9755,-0.02011,-0.01210,0.60548
1.9811,-0.01266,-0.00250,0.56926
1.9836,-0.00520,-0.00250,0.51706
1.9882,-0.01479,0.00920,0.44463
1.9943,-0.00414,0.00920,0.38710
1.9963,-0.01904,0.00601,0.31892
2.0006,-0.00946,-0.01103,0.26993
